year,title,total,budget,studio
2004,Collateral,100.44,65,DreamWorks
2004,Million Dollar Baby,100.42,30,Warner Brothers
2004,The Princess Diaries 2,95.15,40,Disney
2004,Starsky & Hutch,88.2,60,Warner Brothers
2004,Along Came Polly,87.86,42,Universal
2004,Mean Girls,86.05,17,Paramount
2004,SpongeBob Movie,85.42,30,Paramount
2004,Scooby-Doo 2,84.19,84,Warner Brothers
2004,Anchorman,84.14,26,DreamWorks
2004,The Notebook,81,32,New Line
2004,Alien Vs Predator,80.28,60,20th Century Fox
2004,Man on Fire,77.91,70,20th Century Fox
2004,The Terminal,77.03,60,DreamWorks
2004,Garfield,75.37,50,20th Century Fox
2004,Ray,75.31,40,Universal
2004,Ladder 49,74.54,60,Touchstone
2004,Christmas with the Kranks,73.7,60,Sony Pictures
2004,Sideways,71.5,18,Fox Searchlight
2004,White Chicks,69.15,,Sony Pictures
2004,Hidalgo,67.29,90,Touchstone
2004,The Forgotten,66.64,42,Sony Pictures
2004,Kill Bill 2,66.37,32.5,Miramax
2004,Manchurian Candidate,65.95,80,Paramount
2004,Barbershop 2,65.19,18,MGM
2004,Miracle,64.37,28,Disney
2004,Friday Night Lights,61.19,30,Universal
2004,Stepford Wives,59.48,90,Paramount
2004,Hellboy,59.04,66,Columbia
2004,Dawn of the Dead,58.89,45,Universal
2004,Without a Paddle,58.16,19,Paramount
2004,Shall We Dance,57.89,40,Miramax
2004,Butterfly Effect,57.76,13,New Line
2004,The Chronicles of Riddick,57.64,120,Universal
2005,Revenge of the Sith,380.271,115,20th Century Fox
2005,Chronicles of Narnia,291.71,205,Disney
2005,Goblet of Fire,290.013,130,Warner Brothers
2005,War of the Worlds,234.28,128,Paramount
2005,King Kong,218.051,207,Universal
2005,Wedding Crashers,209.218,40,New Line
2005,Chocolate Factory,206.459,150,Warner Brothers
2005,Batman Begins,205.344,150,Warner Brothers
2005,Madagascar,193.137,75,DreamWorks
2005,Mr and Mrs Smith,186.336,110,20th Century Fox
2005,Hitch,178.51,70,Columbia
2005,The Longest Yard,158.12,82,Paramount
2005,Fantastic Four,154.7,100,20th Century Fox
2005,Chicken Little,135.38,60,Disney
2005,Robots,128.2,70,20th Century Fox
2005,Walk the Line,119.52,28,20th Century Fox
2005,The Pacifier,113.14,56,Disney
2005,Dick and Jane,110.5,100,Columbia
2005,The 40 Year Old Virgin,109.33,26,Universal
2005,Flightplan,89.71,55,Touchstone
2005,Saw 2,87.03,4,Lions Gate
2005,Brokeback Mountain,83.03,14,Focus Features
2005,Monster in Law,82.89,45,New Line
2005,Cheaper Dozen 2,82.57,60,20th Century Fox
2005,Are We There Yet,82.4,32,Columbia
2005,Dukes of Hazzard,80.27,53,Warner Brothers
2005,March of the Penguins,77.41,8,Warner Independent
2005,The Ring 2,76.03,50,DreamWorks
2005,Constantine,75.5,90,Warner Brothers
2005,Exorcism of Emily Rose,75.2,20,Screen Gems
2005,Four Brothers,74.48,44,DreamWorks
2005,Sin City,74.1,45,Dimension
2005,The Interpreter,72.52,80,Universal
2005,Sahara,68.64,130,Paramount
2005,Guess Who,67.96,35,Columbia
2005,Coach Carter,67.25,30,Paramount
2005,Herbie: Fully Loaded,66,50,Disney
2005,The Amityville Horror,64.66,19,MGM
2005,Sky High,63.94,35,Disney
2005,Jarhead,62.65,72,Universal
2005,Bewitched,62.25,85,Columbia
2005,Cinderella Man,61.65,88,Universal
2005,The Family Stone,60.06,17,20th Century Fox
2005,Red Eye,57.86,44,DreamWorks
2005,Memoirs of a Geisha,57.01,85,Columbia
2005,Wallace & Gromit,56.2,30,DreamWorks
2005,White Noise,55.87,10,Universal
2005,Be Cool,55.81,53,MGM
2005,Crash,54.56,6.5,Lions Gate
2005,"Yours, Mine and Ours",53.36,45,MGM
2005,Corpse Bride,53.34,40,Warner Brothers
2005,Kicking & Screaming,52.58,45,Universal
2005,Hide and Seek,51.1,30,20th Century Fox
2005,Guide to the Galaxy,51.02,50,Touchstone
2005,Syriana,50.85,50,Warner Brothers
2006,Pirates of Caribbean 2,423.416,200,Disney
2006,Night at the Museum,250.863,110,20th Century Fox
2006,Cars,244.083,70,Disney
2006,X-Men: The Last Stand,234.362,165,20th Century Fox
2006,The Da Vinci Code,217.65,125,Columbia
2006,Superman Returns,200.12,220,Warner Brothers
2006,Happy Feet,198,85,Warner Brothers
2006,Ice Age 2,195.331,80,20th Century Fox
2006,Casino Royale,167.365,72,MGM
2006,Pursuit of Happyness,162.8,55,Columbia
2006,Over the Hedge,155.02,80,DreamWorks
2006,Talladega Nights,148.21,73,Columbia
2006,Click,137.34,70,Columbia
2006,Mission: Impossible III,133.5,150,Paramount
2006,The Departed,133.31,90,Warner Brothers
2006,Borat,128.51,18,20th Century Fox
2006,The Devil Wears Prada,124.74,35,20th Century Fox
2006,The Break-Up,118.7,52,Universal
2006,Dreamgirls,103.37,70,DreamWorks
2006,Scary Movie 4,90.7,45,Weinstein Co.
2006,Failure to Launch,88.79,50,Paramount
2006,Inside Man,88.51,45,Universal
2006,The Santa Clause 3,84.5,12,Disney
2006,Open Season,84.38,85,Columbia
2006,Charlotte's Web,82.73,82.5,Paramount
2006,The Pink Panther,82.23,65,MGM
2006,Eight Below,81.59,40,Touchstone
2006,Saw 3,80.31,10,Lions Gate
2006,Nacho Libre,80.2,32,Paramount
2006,"You, Me and Dupree",75.63,54,Universal
2006,Eragon,75.03,100,20th Century Fox
2006,Monster House,73.85,75,Columbia
2006,Barnyard,72.78,51,Paramount
2006,Jackass: Number Two,72.78,11.5,Paramount
2006,RV,71.4,65,Columbia
2006,V for Vendetta,70.5,50,Warner Brothers
2006,World Trade Center,70.28,63,Paramount
2006,Rocky Balboa,70.27,24,MGM
2006,Big Momma's House 2,70.16,40,20th Century Fox
2006,The Good Shepherd,69.49,90,Universal
2006,Step Up,65.33,12,Touchstone
2006,Flushed Away,64.49,130,DreamWorks
2006,Deja Vu,64.03,80,Touchstone
2006,Miami Vice,63.44,135,Universal
2006,The Holiday,63.28,85,Columbia
2006,Madea's Family ,63.23,10,Lions Gate
2006,Tokyo Drift,62.51,85,Universal
2006,Underworld 2,62.32,50,Screen Gems
2006,The Shaggy Dog,61.12,50,Disney
2006,Poseidon,60.66,140,Warner Brothers
2006,Little Miss Sunshine,59.89,8,Fox Searchlight
2006,The Benchwarmers,58.45,33,Columbia
2006,Curious George,58.39,50,Universal
2006,Little Man,58.26,64,Revolution
2006,Invincible,57.81,,Disney
2007,Spider-Man 3,336.53,258,Columbia
2007,Shrek 3,320.707,160,DreamWorks
2007,Transformers,319.222,147,Paramount
2007,Pirates of Caribbean 3,309.303,200,Disney
2007,Order of the Phoenix,292.001,150,Warner Brothers
2007,I Am Legend,256.386,150,Warner Brothers
2007,The Bourne Ultimatum,227.437,110,Universal
2007,National Treasure 2,219.962,130,Buena Vista
2007,Alvin & the Chipmunks,217.324,60,20th Century Fox
2007,300,210.593,60,Warner Brothers
2007,Ratatouille,206.44,150,Pixar
2007,The Simpsons,183.12,75,20th Century Fox
2007,Wild Hogs,168.21,,Touchstone
2007,Knocked Up,148.73,30,Universal
2007,Juno,143.49,7.5,Fox Searchlight
2007,Rush Hour 3,140.08,120,New Line
2007,Live Free or Die Hard,134.53,110,20th Century Fox
2007,Fantastic Four II,131.92,130,20th Century Fox
2007,American Gangster,130.13,100,Universal
2007,Enchanted,127.98,85,Disney
2007,Bee Movie,126.6,150,DreamWorks
2007,Superbad,121.46,20,Columbia
2007,Chuck and Larry,119.68,85,Universal
2007,Hairspray,118.82,75,New Line
2007,Blades of Glory,118.34,61,DreamWorks
2007,Ocean's 13,117.14,85,Warner Brothers
2007,Ghost Rider,116.4,110,Columbia
2007,Evan Almighty,100.19,175,Universal
2007,Meet the Robinsons,97.79,,Buena Vista
2007,Norbit,95.36,60,DreamWorks
2007,The Bucket List,93.41,45,Warner Brothers
2007,The Game Plan,90.64,22,Disney
2007,Bridge to Terabithia,82.31,60,Buena Vista
2007,Beowulf,82.16,150,Paramount
2007,Disturbia,80.05,20,DreamWorks
2007,No Country for Old Men,74.27,25,Paramount Vantage
2007,Fred Claus,72,,Warner Brothers
2007,1408,71.91,25,MGM
2007,The Golden Compass,70.08,150,New Line
2007,Charlie Wilson's War,66.64,75,Universal
2007,Saw 4,63.27,10,Lions Gate
2007,Stomp the Yard,61.7,14,Screen Gems
2007,Surf's Up,58.87,85,Columbia
2007,Halloween (2007),58.27,15,Dimension
2007,Why Did I Get Married,55.18,15,Lions Gate
2007,TMNT,54.13,34,Warner Brothers
2007,3:10 to Yuma,53.72,50,Lions Gate
2007,"PS, I Love You",53.68,30,Warner Brothers
2007,Sweeney Todd,52.88,50,Paramount
2007,Atonement,50.92,35,Focus Features
2007,Resident Evil 3,50.65,45,Screen Gems
2007,Music and Lyrics,50.57,67,Warner Brothers
2007,Are We Done Yet,49.81,,Revolution
2007,This Christmas,49.12,13,Screen Gems
2007,Michael Clayton,49.02,25,Warner Brothers
2008,The Dark Knight,533.184,185,Warner Brothers
2008,Iron Man,318.298,186,Paramount
2008,Indiana Jones 4,317.011,185,Paramount
2008,Hancock,228.246,150,Columbia
2008,Wall-E,223.807,180,Disney
2008,Kung Fu Panda,215.395,130,DreamWorks
2008,Twilight,192.77,37,Summit
2008,Madagascar 2,179.983,150,DreamWorks
2008,Quantum of Solace,168.368,200,MGM
2008,Horton Hears a Who,154.444,85,20th Century Fox
2008,Sex and the City,152.6,65,New Line
2008,Gran Torino,148.09,35,Warner Brothers
2008,Mamma Mia!,143.87,52,Universal
2008,Marley and Me,143.15,60,Fox 2000
2008,Slumdog Millionaire,141.32,15,Fox Searchlight
2008,Prince Caspian,140.69,100,Disney
2008,Wanted,134.39,65,Universal
2008,The Incredible Hulk,133.84,150,Universal
2008,Get Smart,130.25,80,Warner Brothers
2008,Benjamin Button,127.49,150,Warner Brothers
2008,Four Christmases,120.14,80,New Line
2008,Bolt,114.05,150,Disney
2008,Tropic Thunder,110.42,92,DreamWorks
2008,Bedtime Stories,109.99,80,Disney
2008,The Mummy 3,102.48,100,Universal
2008,Journey to Center 3D,101.66,45,New Line
2008,Eagle Eye,101.11,80,DreamWorks
2008,Step Brothers,100.54,65,Columbia
2008,Don't Mess with Zohan,100.02,75,Columbia
2008,Yes Man,97.68,70,Warner Brothers
2008,"10,000 BC",94.77,75,Warner Brothers
2008,Beverly Chihuahua,94.41,20,Disney
2008,High School Musical,90.56,11,Disney
2008,Pineapple Express,87.34,27,Columbia
2008,Valkyrie,83.08,80,United Artists
2008,21,81.22,35,Columbia
2008,What Happens in Vegas,80.27,35,20th Century Fox
2008,Jumper,80.17,85,20th Century Fox
2008,Cloverfield,80.03,30,Paramount
2008,The Day Earth Stood Still,79.36,80,20th Century Fox
2008,27 Dresses,76.81,30,20th Century Fox
2008,Hellboy 2,75.87,72,Universal
2008,Vantage Point,72.55,40,Columbia
2008,The Spiderwick Chronicles,71.3,90,Paramount
2008,Fool's Gold,70.22,70,Warner Brothers
2008,Seven Pounds,69.95,55,Columbia
2008,Role Models,67.27,28,Universal
2008,Hannah Montana,65.28,7,Disney
2008,The Happening,64.5,57,20th Century Fox
2008,Forgetting Sarah Marshall,63,30,Universal
2008,Burn After Reading,60.34,37,Focus Features
2008,Baby Mama,60.27,30,Universal
2008,Step Up 2 the Streets,58.01,23,Buena Vista
2008,Saw V,56.73,11,Lions Gate
2008,The Strangers,52.53,10,Rogue
2009,Avatar,759.563,190,20th Century Fox
2009,Transformers 2,402.077,200,Paramount
2009,Half-Blood Prince,301.957,250,Warner Brothers
2009,Twilight: New Moon,293.815,51,Summit
2009,Up,292.913,175,Buena Vista
2009,The Hangover,277.313,35,Warner Brothers
2009,Star Trek,257.704,150,Paramount
2009,The Blind Side,255.945,29,Warner Brothers
2009,Alvin and Chipmunks 2,219.607,75,20th Century Fox
2009,Sherlock Holmes,208.979,90,Warner Brothers
2009,Monsters vs Aliens,198.33,175,DreamWorks
2009,Ice Age 3,196.44,90,20th Century Fox
2009,Wolverine,179.86,150,20th Century Fox
2009,Night at the Museum 2,177.23,150,20th Century Fox
2009,2012,165.55,200,Columbia
2009,The Proposal,163.9,40,Disney
2009,Fast and Furious,154.88,85,Universal
2009,GI Joe,150.17,170,Paramount
2009,Paul Blart: Mall Cop,146.34,25,Columbia
2009,Taken,145,25,20th Century Fox
2009,A Christmas Carol,137.85,200,Disney
2009,Angels & Demons,133.38,150,Columbia
2009,Terminator Salvation,125.29,200,Warner Brothers
2009,Chance of Meatballs,124.87,100,Columbia
2009,Inglourious Basterds,120.52,70,Weinstein Co.
2009,G-Force,119.25,150,Buena Vista
2009,District 9,115.65,30,Columbia
2009,It's Complicated,112.7,85,Universal
2009,Couples Retreat,109.18,60,Universal
2009,Paranormal Activity,107.9,0,Paramount
2009,Watchmen,107.5,130,Warner Brothers
2009,Princess and the Frog,100.35,105,Disney
2009,Public Enemies,97.03,100,Universal
2009,Julie and Julia,94.13,40,Columbia
2009,Not That Into You,93.92,40,New Line
2009,Madea Goes to Jail,90.49,17.5,Lions Gate
2009,The Ugly Truth,88.92,38,Columbia
2009,Up in the Air,83.78,30,Paramount
2009,Knowing,79.95,50,Summit
2009,Hannah Montana,78.9,30,Disney
2009,Where Wild Things Are,77.18,100,Warner Brothers
2009,Zombieland,75.59,24,Columbia
2009,Coraline,75.2,60,Focus Features
2009,Law Abiding Citizen,73.34,40,Overture Films
2009,Hotel for Dogs,73.02,35,DreamWorks
2009,This Is It,72.09,60,Columbia
2009,"I Love You, Man",71.35,40,DreamWorks
2009,Obsessed,68.31,20,Screen Gems
2009,Witch Mountain,67.13,65,Disney
2009,The Final Destination,66.37,43,New Line
2009,Taking Pelham 123,65.45,100,Columbia
2009,Friday the 13th,65,19,New Line
2009,17 Again,64.15,33,New Line
2009,Time Traveler's Wife,63.21,39,New Line
2009,Bruno,59.99,42,Universal
2010,Toy Story 3,414.638,200,Disney
2010,Alice in Wonderland,333.92,200,Disney
2010,Iron Man 2,312.057,200,Paramount
2010,Twilight: Eclipse,300.099,65,Summit
2010,The Deathly Hallows,294.98,150,Warner Brothers
2010,Inception,291.833,200,Warner Brothers
2010,Despicable Me,251.477,69,Universal
2010,Shrek Forever After,238.372,165,DreamWorks
2010,Train Your Dragon,217.388,165,DreamWorks
2010,Tangled,199.084,260,Disney
2010,The Karate Kid ,176.56,40,Columbia
2010,TRON Legacy,171.99,170,Disney
2010,True Grit,170.42,38,Paramount
2010,Clash of the Titans ,163.19,70,Warner Brothers
2010,Grown Ups,160.98,75,Columbia
2010,Megamind,148.24,130,DreamWorks Animation
2010,Little Fockers,147.64,100,Universal
2010,The King's Speech,138.71,15,Weinstein Co.
2010,The Last Airbender,131.57,150,Paramount
2010,Shutter Island,127.56,80,Paramount
2010,The Other Guys,119.22,90,Columbia
2010,Salt,117.56,110,Columbia
2010,Jackass,117.19,20,Paramount
2010,Valentine's Day,110.34,52,Warner Brothers
2010,Black Swan,106.78,17,Fox Searchlight
2010,Robin Hood,105.22,200,Universal
2010,Chronicles of Narnia 3,104.35,155,20th Century Fox
2010,The Expendables,101,80,Lions Gate
2010,Due Date,100.5,65,Warner Brothers
2010,Yogi Bear,100.17,80,Warner Brothers
2010,Date Night,98.71,55,20th Century Fox
2010,The Social Network,96.76,50,Columbia
2010,Sex and the City 2,95.33,100,Warner Brothers
2010,The Book of Eli,94.82,80,Warner Brothers
2010,The Fighter,93.57,25,Paramount
2010,Love and Other Drugs,90.88,30,20th Century Fox
2010,Prince of Persia,90.7,200,Disney
2010,The Town,90.63,37,Warner Brothers
2010,Red ,90.36,58,Summit
2010,Percy Jackson,88.72,95,20th Century Fox
2010,Paranormal Activity 2,84.72,2.8,Paramount
2010,Unstoppable,81.36,100,20th Century Fox
2010,Dear John,80.01,25,Screen Gems
2010,"Eat, Pray, Love",79.71,60,Columbia
2010,The A-Team,77.19,110,20th Century Fox
2010,Knight & Day,76.31,117,20th Century Fox
2010,Dinner for Schmucks,72.22,75,DreamWorks
2010,The Tourist,67.24,100,Columbia
2010,The Bounty Hunter,66.31,40,Columbia
2010,Diary of a Wimpy Kid,64,15,20th Century Fox
2010,A Nightmare on Elm Street ,63.06,35,Warner Brothers
2010,The Last Song,62.93,16,Disney
2010,The Sorcerer's Apprentice,62.5,160,Disney
2010,The Wolfman,61.94,150,Universal
2010,Get Him to the Greek,60.92,40,Universal
2011,The Deathly Hallows II,378.181,125,Warner Brothers
2011,Transformers 3,351.903,195,DreamWorks
2011,Twilight: Breaking Dawn,280.262,110,Summit
2011,The Hangover II,251.882,80,Warner Brothers
2011,Pirates Caribbean 4,237.354,250,Disney
2011,Mission: Impossible IV,209.065,145,Paramount
2011,Fast Five,208.31,125,Universal
2011,Cars 2,186.197,200,Disney
2011,Sherlock Holmes 2,185.271,125,Warner Brothers
2011,Thor,180.136,150,Paramount
2011,Rise of the Apes,176.74,93,20th Century Fox
2011,Captain America,174.3,140,Paramount
2011,The Help,169.35,25,Disney
2011,Bridesmaids,168.94,32.5,Universal
2011,Kung Fu Panda 2,165.13,130,Paramount
2011,Puss in Boots,147.72,130,Paramount
2011,X-Men: First Class,144.71,160,20th Century Fox
2011,Rio,139.63,90,20th Century Fox
2011,The Smurfs,139.01,110,Columbia
2011,Alvin and the Chipmunks 3,133.06,75,20th Century Fox
2011,Super 8,126.87,45,Paramount
2011,Rango,122.48,135,Paramount
2011,Horrible Bosses,116.5,35,Warner Brothers
2011,Green Lantern,115.04,150,Warner Brothers
2011,Hop,107.82,63,Universal
2011,Paranormal Activity 3,103.78,5,Paramount
2011,Just Go with It,101.43,80,Columbia
2011,Bad Teacher,99.39,20,Columbia
2011,Gnomeo and Juliet,99.29,36,Touchstone
2011,Cowboys & Aliens,98.83,163,Universal
2011,The Green Hornet,98.52,120,Columbia
2011,Dragon Tattoo,98.19,50,Columbia
2011,The Muppets,87.04,45,Disney
2011,Battle: Los Angeles,83.27,70,Columbia
2011,Real Steel,82.55,80,Disney
2011,The Descendants,82.28,20,Fox Searchlight
2011,"Crazy, Stupid, Love",82.07,50,Warner Brothers
2011,Immortals,81.89,75,Relativity Media
2011,Zookeeper,79.23,80,MGM
2011,Limitless,78.46,43,Rogue
2011,Tower Heist,75.79,75,Universal
2011,We Bought a Zoo,75.62,50,20th Century Fox
2011,War Horse,75.62,66,DreamWorks
2011,Moneyball,74.32,47,Columbia
2011,Contagion,73.47,60,Warner Brothers
2011,Hugo,73.44,170,Paramount
2011,Jack and Jill,72.95,79,Columbia
2011,Justin Bieber,72.69,13,Paramount
2011,Tintin,72.32,130,Paramount
2011,Dolphin Tale,71.07,37,Warner Brothers
2011,No Strings Attached,70.63,25,Paramount
2011,Mr Popper's Penguins,67.89,55,20th Century Fox
2011,Unknown,62.72,30,Warner Brothers
2011,Happy Feet Two,62.6,130,Warner Brothers
2011,The Adjustment Bureau,62.3,65,Universal
2012,The Avengers,622.217,220,Disney
2012,The Dark Knight Rises,447.911,250,Warner Brothers
2012,The Hunger Games,407.884,100,Lions Gate
2012,007: Skyfall,304.295,200,Columbia
2012,The Hobbit,302.849,180,Warner Brothers
2012,Breaking Dawn - Part 2,292.299,131.5,Summit
2012,Amazing Spider-Man,261.939,230,Columbia
2012,Brave,237.156,185,Disney
2012,Ted,218.629,38.7,Universal
2012,Madagascar 3,216.367,145,DreamWorks
2012,Dr Seuss' The Lorax,213.95,70,Universal
2012,Wreck-It Ralph,189.29,165,Disney
2012,Lincoln,182.14,100,Touchstone
2012,Men in Black III,179.02,225,Columbia
2012,Django Unchained,162.69,100,Weinstein Co.
2012,Ice Age: Continental Drift,161.01,95,20th Century Fox
2012,Snow White Huntsman,154.92,170,Universal
2012,Les Miserables,148.78,61,Universal
2012,Hotel Transylvania,148.28,85,Columbia
2012,Taken II,139.76,45,20th Century Fox
2012,21 Jump Street,138.26,42,Columbia
2012,Argo,135.99,44.5,Warner Brothers
2012,Silver Linings Playbook,131.93,26,Weinstein Co.
2012,Prometheus,126.3,130,20th Century Fox
2012,Safe House,126.15,85,Universal
2012,The Vow,124.93,30,Screen Gems
2012,Life of Pi,124.82,120,20th Century Fox
2012,Magic Mike,113.39,5,Warner Brothers
2012,The Bourne Legacy,113.17,125,Universal
2012,Journey 2,103.81,79,New Line
2012,Rise of the Guardians,103.4,145,DreamWorks
2012,Zero Dark Thirty,95.72,40,Columbia
2012,Flight,93.75,31,Paramount
2012,Think Like a Man,91.55,13,Screen Gems
2012,The Campaign,86.85,,Warner Brothers
2012,This Means War,86.54,65,20th Century Fox
2012,The Expendables 2,85.02,100,Lions Gate
2012,Wrath of the Titans,83.64,150,Warner Brothers
2012,Jack Reacher,80.03,60,Paramount
2012,Dark Shadows,79.71,150,Warner Brothers
2012,Parental Guidance,77.05,25,20th Century Fox
2012,John Carter,73,250,CBS Films
2012,Act of Valor,69.98,15,Relativity Media
2012,This Is 40,67.52,35,Universal
2012,Looper,66.31,30,FilmDistrict
2012,Madea's Witness Protection,65.62,20,Lions Gate
2012,Battleship,65,200,Universal
2012,Pitch Perfect,64.97,17,Universal
2012,Mirror Mirror,64.66,85,Relativity Media
2012,Contraband,64.64,41,Universal
2012,Chronicle,64.51,12,20th Century Fox
2012,Hope Springs,63.54,30,Columbia
2012,Underworld Awakening,61.38,70,Screen Gems
2012,The Lucky One,60.15,35,Warner Brothers
2012,The Dictator,59.62,65,Paramount
2013,The Hunger Games 2,424.339,130,Lions Gate
2013,Iron Man 3,408.569,200,Disney
2013,Frozen ,398.939,150,Disney
2013,Despicable Me 2,368.05,76,Universal
2013,Man of Steel,290.65,175,Warner Brothers
2013,Gravity,273.343,100,Warner Brothers
2013,Monsters University,268.385,,Disney
2013,The Hobbit 2,258.206,250,Warner Brothers
2013,Fast & Furious 6,238.287,160,Universal
2013,Oz,234.549,200,Disney
2013,Star Trek Into Darkness,228.23,190,Paramount
2013,Thor: The Dark World,204.29,170,Disney
2013,World War Z,202.14,190,Paramount
2013,The Croods,186.86,135,20th Century Fox
2013,The Heat,159.51,43,20th Century Fox
2013,We're the Millers,150.37,30,New Line
2013,American Hustle,150.12,40,Columbia
2013,The Great Gatsby,144.71,127,Warner Brothers
2013,The Conjuring,137.34,13,New Line
2013,Identity Thief,134.46,35,Universal
2013,Grown Ups 2,133.67,80,Columbia
2013,The Wolverine,132.48,80,20th Century Fox
2013,Anchorman 2,127.1,50,Paramount
2013,Lone Survivor,124.57,50,Universal
2013,GI Joe 2: Retaliation,122.26,130,Paramount
2013,Chance of Meatballs 2,119.41,78,Columbia
2013,Now You See Me,117.39,70,Summit
2013,Wolf of Wall Street,116.89,100,Paramount
2013,The Butler,116.43,17,Weinstein Co.
2013,The Hangover Part III,111.65,103,Warner Brothers
2013,Epic,107.21,100,20th Century Fox
2013,Captain Phillips,106.86,55,Columbia
2013,Bad Grandpa,101.83,15,Paramount
2013,Pacific Rim,101.73,190,Warner Brothers
2013,This Is the End,101.47,25,Columbia
2013,Olympus Has Fallen,98.77,80,FilmDistrict
2013,42,94.93,40,Warner Brothers
2013,Elysium,93.05,100,Columbia
2013,Planes,90.28,50,Disney
2013,Oblivion,89.02,140,Universal
2013,The Lone Ranger,89.01,215,Disney
2013,Insidious: Chapter 2,83.58,5,FilmDistrict
2013,Turbo,83.03,135,DreamWorks
2013,Saving Mr Banks,81.04,35,Disney
2013,2 Guns,75.57,90,Universal
2013,White House Down,72.77,150,Columbia
2013,Mama,71.59,15,Universal
2013,Safe Haven,71.28,28,Relativity Media
2013,The Smurfs 2,71.02,105,Columbia
2013,The Best Man Holiday,70.25,17,Universal
2013,Percy Jackson 2,68.38,90,20th Century Fox
2013,A Good Day to Die Hard,67.29,92,20th Century Fox
2013,Warm Bodies,66.36,30,Summit
2013,Jack the Giant Slayer,65.11,150,Warner Brothers
2013,The Purge,64.27,3,Universal
