year,title,total,budget,studio
1995,Sense & Sensibility,43.18,16.5,Columbia
1995,Casino,42.51,52,Universal
1995,Nobody's Fool,39.49,,Paramount
1995,Dead Man Walking,39.36,11,Paramount
1995,French Kiss,38.9,,20th Century Fox
1995,Higher Learning,38.29,,Columbia
1995,Power Rangers Movie,37.8,,20th Century Fox
1995,First Knight,37.36,75,Columbia
1995,Just Cause,36.85,,Warner Brothers
1995,To Wong Foo,36.47,,Universal
1995,Indian in Cupboard,35.66,45,Columbia
1995,Money Train,35.43,68,Columbia
1995,A Goofy Movie,35.34,,Disney
1995,Judge Dredd,34.67,90,Hollywood
1995,Forget Paris,33.2,,Columbia
1995,Tommy Boy,32.7,,Paramount
1995,Copycat,32.05,20,Warner Brothers
1995,Leaving Las Vegas,31.98,4,United Artists
1995,Rob Roy,31.39,28,United Artists
1996,Independence Day,306.169,75,20th Century Fox
1996,Twister,241.722,92,Warner Brothers
1996,Mission: Impossible,180.982,75,Paramount
1996,Jerry Maguire,153.621,50,TriStar
1996,Ransom,136.385,80,Touchstone
1996,101 Dalmatians ,135.539,54,Disney
1996,The Rock,134.1,75,Touchstone
1996,The Nutty Professor,128.769,54,Universal
1996,The Birdcage,123.987,,United Artists
1996,A Time To Kill,108.285,40,Warner Brothers
1996,First Wives Club,105.31,26,Paramount
1996,Phenomenon,104.63,32,Touchstone
1996,Scream,103,15,Dimension
1996,Eraser,101.23,100,Warner Brothers
1996,Hunchback of ,100.12,70,Disney
1996,Michael,95.35,,New Line
1996,Star Trek: First Contact,92,45,Paramount
1996,Space Jam,90.44,80,Warner Brothers
1995,Mr.?Holland,82.53,,Hollywood
1996,The English Patient,78.65,27,Miramax
1996,Broken Arrow,70.77,65,20th Century Fox
1996,Beavis & Butthead,63.12,12,Paramount
1996,Jingle All the Way,60.59,60,20th Century Fox
1996,The Cable Guy,60.24,47,Columbia
1996,Courage Under Fire,59.03,46,20th Century Fox
1996,Jack,58.62,45,Hollywood
1996,12 Monkeys,57.14,29,Universal
1996,Executive Decision,56.57,55,Warner Brothers
1996,Primal Fear,56.12,30,Paramount
1996,Tin Cup,53.86,45,Warner Brothers
1996,Sleepers,53.32,44,Warner Brothers
1996,Dragonheart,51.37,57,Universal
1996,Up Close & Personal,51.09,60,Touchstone
1996,Evita,50.05,55,Hollywood
1996,The Preacher's Wife,48.1,40,Samuel Goldwyn
1996,Romeo + Juliet,46.35,14.5,20th Century Fox
1996,One Fine Day,46.17,,20th Century Fox
1996,Mirror Has 2 Faces,41.25,42,Columbia
1996,Don't Be a Menace ,39.26,,Miramax
1996,Happy Gilmore,38.82,10,Universal
1996,Ghost & the Darkness,38.55,55,Paramount
1996,Mars Attacks!,37.77,70,Warner Brothers
1996,Set It Off,36.05,9,New Line
1996,Shine,35.81,5.5,Fine Line
1996,Truth About Cats & Dogs,34.86,,20th Century Fox
1996,A Thin Line Between ,34.77,8,New Line
1996,Muppet Treasure Island,34.33,,Disney
1996,Matilda,33.46,36,TriStar
1996,Long Kiss Goodnight,33.45,65,New Line
1996,Striptease,33.11,50,Columbia
1996,Daylight,32.89,80,Universal
1996,Homeward Bound II,32.71,,Disney
1996,Black Sheep ,32.38,,Paramount
1996,Rumble in the Bronx,32.28,7.5,New Line
1996,Eddie,31.37,30,PolyGram
1997,Titanic,658.589,200,20th Century Fox
1997,Men In Black,250.157,90,Columbia
1997,The Lost World,229.087,73,Universal
1997,Liar Liar,181.395,45,Universal
1997,Air Force One,172.888,85,Columbia
1997,As Good As It Gets,147.637,50,TriStar
1997,Good Will Hunting,138.339,10,Miramax
1997,Best Friend's Wedding,126.805,46,TriStar
1997,Tomorrow Never Dies,125.332,110,United Artists
1997,Face/Off,112.678,80,Paramount
1997,Batman & Robin,107.29,110,Warner Brothers
1997,George of the Jungle,105.27,55,Disney
1997,Scream 2,101.36,24,Dimension
1997,Con Air,101.09,75,Touchstone
1997,Contact,100.85,90,Warner Brothers
1997,Hercules ,99.05,70,Disney
1997,Flubber,92.97,80,Disney
1997,Conspiracy Theory,76.08,75,Warner Brothers
1997,I Know What You ,72.59,17,Columbia
1997,Dante's Peak,67.13,104,Universal
1997,Anaconda,65.89,35,Columbia
1997,LA Confidential,64.62,35,Warner Brothers
1997,In and Out,63.86,35,Paramount
1997,The Fifth Element,63.82,90,Columbia
1997,Mouse Hunt,61.92,38,DreamWorks
1997,The Saint,61.36,70,Paramount
1997,The Devil's Advocate,60.95,57,Warner Brothers
1997,Kiss the Girls,60.53,27,Paramount
1997,Jungle 2 Jungle,59.93,,Disney
1997,Anastasia,58.41,53,20th Century Fox
1997,The Jackal,54.93,60,Universal
1997,Spawn,54.87,40,New Line
1997,Starship Troopers,54.81,95,Touchstone
1997,Austin Powers,53.87,17,New Line
1997,Breakdown,50.16,36,Paramount
1997,Absolute Power,50.05,50,Columbia
1997,Volcano,49.32,90,20th Century Fox
1997,The Game,48.27,50,PolyGram
1997,GI Jane,48.17,50,Hollywood
1997,Speed 2,48.07,110,20th Century Fox
1997,Alien Resurrection,47.8,70,20th Century Fox
1997,The Full Monty,45.95,3.5,20th Century Fox
1997,The Rainmaker,45.92,40,Paramount
1997,Bean,45.33,22,PolyGram
1997,Cop Land,44.91,15,Miramax
1997,Nothing To Lose,44.48,25,Touchstone
1997,Amistad,44.21,40,DreamWorks
1997,Soul Food,43.49,7.5,20th Century Fox
1997,Wag the Dog,43.06,15,New Line
1997,The Devil's Own,42.89,80,Columbia
1997,Donnie Brasco,41.96,35,TriStar
1997,The Peacemaker,41.26,50,DreamWorks
1997,Private Parts,41.2,20,Paramount
1997,Money Talks,41.08,25,New Line
1997,Jackie Brown,39.67,12,Miramax
1998,Saving Private Ryan,216.335,70,Paramount
1998,Armageddon,201.578,140,Disney
1998,Something About Mary,176.484,23,20th Century Fox
1998,A Bug's Life,162.793,45,Pixar
1998,The Waterboy,161.487,23,Touchstone
1998,Doctor Dolittle,144.156,71.5,20th Century Fox
1998,Rush Hour,141.154,35,New Line
1998,Deep Impact,140.465,75,Paramount
1998,Godzilla ,136.142,125,TriStar
1998,Patch Adams,134.9,50,Universal
1998,Lethal Weapon 4,129.74,140,Warner Brothers
1998,The Truman Show,126.47,60,Paramount
1998,Mulan,120.57,70,Disney
1998,You've Got Mail,115.73,65,Warner Brothers
1998,Enemy of the State,111.54,90,Touchstone
1998,The Prince of Egypt,101.22,60,DreamWorks
1998,Rugrats Movie,100.49,28,Paramount
1998,Shakespeare in Love,100.24,25,Miramax
1998,The Mask Of Zorro,93.77,65,TriStar
1998,Stepmom,91.03,50,Columbia
1998,Antz,90.65,60,DreamWorks
1998,The X-Files,83.89,66,20th Century Fox
1998,The Wedding Singer,80.22,18,New Line
1998,City of Angels,78.69,55,Warner Brothers
1998,Everest,77.42,,IMAX
1998,The Horse Whisperer,75.38,60,Touchstone
1998,"6 Days, 7 Nights",74.34,70,Touchstone
1998,Star Trek: Insurrection,70.19,58,Paramount
1998,Blade,70.09,45,New Line
